coagulant,round,date,sample,dm_real,dm_expected,dose,volume,ntu,efficiency,removal,supernatant_ph,supernatant_ec,subnatant_proportion,subnatant_perc_dm,subnatant_ph,subnatant_ec,subnatant_gr_dm,dm_to_subnatant,ph_inisup,ph_inisub,ec_inisub,ec_inisup,turb_ini,effluent,subnatant_gr_dm_1000,dose_mg,dm_si,water_ml,supernatant,subnatant,vol_input_corrected,dm_input_corrected,treatment,dm_realgl
tanfloc,5,1/08/2023,1,0.0301,0.03,0,0,8550,0,0,6.05,3060,0.154692262,0.122727273,6.08,1088,15.44768182,0.640823336,6.05,6.08,1088,3060,8550,800.13,19.30646497,0,0.640823325,17,687.81,125.87,813.68,24.1059914,control,30.1
tanfloc,5,1/08/2023,2,0.0301,0.03,955.2,3.4,6070,0.2901,2480,5.89,3220,0.161045697,0.124002129,5.98,1147,16.24799894,0.653203822,6.05,6.08,1088,3060,8550,800.26,20.30340007,764.408352,0.653203829,13.6,682.59,131.03,813.62,24.87431699,tanfloc,30.1
tanfloc,5,1/08/2023,3,0.0301,0.03,1911,6.8,5720,0.331,2830,5.77,3370,0.187010051,0.12437256,5.87,1174,18.92950363,0.738533817,6.05,6.08,1088,3060,8550,800.01,23.66158377,1528.81911,0.738533775,10.2,661.66,152.2,813.86,25.63119411,tanfloc,30.1
tanfloc,5,1/08/2023,4,0.0301,0.03,2865.28,10.2,4275,0.5,4275,5.71,3580,0.199943467,0.117888262,5.81,1315,19.17924141,0.726325566,6.05,6.08,1088,3060,8550,800.35,23.9635677,2293.226848,0.726325561,6.8,650.99,162.69,813.68,26.4058465,tanfloc,30.1
tanfloc,5,1/08/2023,5,0.0301,0.03,3818.47,13.6,1660.5,0.8058,6889.5,5.62,3860,0.236868284,0.114369501,5.75,1413,22.05844575,0.811500146,6.05,6.08,1088,3060,8550,800.75,27.54723166,3057.639853,0.811500021,3.4,621.38,192.87,814.25,27.18230655,tanfloc,30.1
tanfloc,5,1/08/2023,6,0.0301,0.03,4774.45,17,75.5,0.9912,8474.5,5.53,4120,0.25929247,0.12006237,5.64,1548,25.3439657,0.907092327,6.05,6.08,1088,3060,8550,800.52,31.65937853,3822.042714,0.907092391,0,603.01,211.09,814.1,27.93978622,tanfloc,30.1
tanfloc,5,1/08/2023,7,0.0301,0.03,5730.78,20.4,40.5,0.9953,8509.5,5.49,4360,0.265140706,0.109000826,5.6,1632,24.1033526,0.839891632,6.05,6.08,1088,3060,8550,800.32,30.11714389,4586.45785,0.83989151,17,612.88,221.13,834.01,28.69816971,tanfloc,30.1
tanfloc,5,1/08/2023,8,0.0301,0.03,6686.66,23.8,61.1,0.9929,8488.9,5.38,4800,0.272000384,0.113452188,5.49,1829,25.74230146,0.873809147,6.05,6.08,1088,3060,8550,800.23,32.16862834,5350.865932,0.873809051,13.6,607.29,226.9,834.19,29.45986724,tanfloc,30.1
tanfloc,5,1/08/2023,9,0.0301,0.03,7639.6,27.2,66.3,0.9922,8483.7,5.22,5040,0.275027252,0.109289617,5.38,1892,25.09180328,0.829988508,6.05,6.08,1088,3060,8550,800.47,31.34633813,6115.270612,0.829988538,10.2,605.2,229.59,834.79,30.23150688,tanfloc,30.1
tanfloc,5,1/08/2023,10,0.0301,0.03,8596.59,30.6,90.9,0.9894,8459.1,5.22,5290,0.2805122,0.121321865,5.34,2010,28.41115437,0.916778918,6.05,6.08,1088,3060,8550,800.28,35.50151743,6879.679045,0.916778968,6.8,600.65,234.18,834.83,30.99019165,tanfloc,30.1
